index,Movie Name,Year,Season,Run Time,Budget,Box Office,Genre,MPAA Rating,Audience Score,Sequel
209,Who Is Cletis Tout?,2002,Summer,92.0,9000000.0,252706000000.0,Comedy,R,38.0,0.0
210,A Rainy Day in New York,2020,Fall,92.0,25000000.0,23800000.0,Comedy,PG-13,48.0,0.0
211,Cobweb,2023,Summer,88.0,7083333.333333334,8500000.0,Horror,R,61.0,0.0
212,Texas Chainsaw 3D,2013,Winter,92.0,20000000.0,47300000.0,Horror,R,19.0,1.0
213,Fatman,2020,Fall,100.0,20000000.0,1700000.0,Action,R,45.0,0.0
214,"No Time to Die
",2021,Winter,163.0,400500000.0,774200000.0,Action,PG-13,83.0,1.0
215,Avengers: Age of Ultron,2015,Spring,141.0,691600000.0,1405000000.0,Action,PG-13,76.0,1.0
216,We Need to Talk About Kevin,2011,Fall,112.0,7000000.0,10800000.0,Drama,R,76.0,0.0
217,Beyond Borders,2003,Fall,127.0,35000000.0,11700000.0,Drama,R,14.0,0.0
218,Brooklyn's Finest,2010,Winter,132.0,17000000.0,36400000.0,Crime,R,44.0,0.0
219,Big Fat Liar,2002,Winter,88.0,15000000.0,53000000.0,Comedy,PG,45.0,0.0
220,The Painted Veil,2006,Fall,125.0,19400000.0,26900000.0,Drama,PG-13,70.0,0.0
221,The Wrath of Becky,2023,Spring,83.0,172598333333.33334,207118000000.0,Action,R,79.0,1.0
222,The Legend of Zorro,2005,Fall,130.0,75000000.0,142400000.0,Action,PG,43.0,1.0
223,Terminator: Dark Fate,2019,Fall,128.0,283000000.0,261100000.00000003,Action,R,70.0,1.0
224,Uncharted,2022,Winter,116.0,120000000.0,407100000.0,Action,PG-13,40.0,0.0
225,2 Hearts,2020,Fall,100.0,15000000.0,1300000.0,Romance,PG-13,18.0,0.0
226,Resident Evil: Retribution,2012,Summer,96.0,65000000.0,240200000.0,Action,R,28.0,1.0
227,Dashcam,2022,Spring,76.0,58820833333.333336,70585000000.0,Horror,R,36.0,0.0
228,The Human Stain,2003,Fall,106.0,30000000.0,24900000.0,Drama,R,44.0,0.0
229,Her,2013,Fall,126.0,23000000.0,48300000.0,Romance,R,94.0,0.0
230,Yogi Bear,2010,Fall,80.0,80000000.0,203500000.0,Animation,PG,13.0,0.0
231,Failure to Launch,2006,Winter,97.0,50000000.0,130200000.0,Comedy,PG-13,24.0,0.0
232,Kings,2018,Spring,92.0,758557500000.0,910269000000.0,Drama,R,13.0,0.0
233,"The Loft
",2015,Winter,103.0,13000000.0,11000000.0,Thriller,R,15.0,0.0
234,The Witch,2016,Winter,92.0,4000000.0,40400000.0,Horror,R,89.0,0.0
235,The Bad Guys,2022,Spring,100.0,109000000.0,250800000.0,Animation,PG,88.0,0.0
236,Country Strong,2010,Fall,117.0,19500000.0,20600000.0,Drama,PG-13,22.0,0.0
237,The Patriot,2000,Spring,165.0,110000000.0,215300000.0,Action,R,62.0,0.0
238,Ricky Stanicky,2024,Winter,114.0,49700000.0,59640000.0,Comedy,R,44.0,0.0
239,Abduction,2011,Summer,105.0,35000000.0,82100000.0,Action,PG-13,5.0,0.0
240,Come Play,2020,Fall,96.0,9000000.0,13200000.0,Horror,PG-13,55.0,0.0
241,Racing Dreams,2010,Spring,96.0,54235000000.0,65082000000.0,Documentary,PG,93.0,0.0
242,ShowBusiness: The Road to Broadway,2007,Spring,102.0,126423333333.33334,151708000000.0,Documentary,PG,50.0,0.0
243,The Night Before,2015,Fall,101.0,41500000.0,52400000.0,Comedy,R,67.0,0.0
244,The Smurfs,2011,Summer,103.0,110000000.0,563700000.0,Animation,PG,21.0,0.0
245,White Bird,2024,Fall,121.0,20000000.0,8800000.0,Drama,PG-13,73.0,1.0
246,Lucky You,2007,Spring,124.0,55000000.0,8400000.0,Romance,PG-13,28.0,0.0
247,"The Boss Baby
",2017,Winter,97.0,125000000.0,528000000.0,Animation,PG,53.0,0.0
248,Hot Rod,2007,Summer,88.0,25000000.0,14400000.0,Comedy,PG-13,38.0,0.0
249,Kit Kittredge: An American Girl,2008,Spring,101.0,10000000.0,17700000.0,Drama,G,80.0,0.0
250,Stone,2010,Fall,105.0,22000000.0,10300000.0,Drama,R,48.0,0.0
251,Timeline,2003,Fall,116.0,80000000.0,43900000.0,Sci-Fi,PG-13,11.0,0.0
252,Play the Game,2009,Winter,105.0,549569166666.6667,659483000000.0,Comedy,PG-13,38.0,0.0
253,The Burnt Orange Heresy,2020,Winter,98.0,593075833333.3334,711691000000.0,Thriller,R,67.0,0.0
254,Hidalgo,2004,Winter,136.0,100000000.0,108100000.0,Adventure,PG-13,46.0,0.0
255,Did You Hear About the Morgans?,2009,Fall,103.0,58000000.0,85300000.0,Comedy,PG-13,13.0,0.0
256,Lawless,2012,Summer,115.0,26000000.0,54400000.0,Crime,R,78.0,0.0
257,"Saving Christmas
",2014,Fall,79.0,500000000000.0,2800000.0,Comedy,PG,0.0,0.0
258,I Origins,2014,Summer,106.0,1000000.0,852399000000.0,Sci-Fi,R,77.0,0.0
259,Rita Moreno: Just a Girl Who Decided to Go for It,2021,Summer,90.0,220521666666.6667,264626000000.0,Documentary,PG-13,98.0,0.0
260,Bee Season,2005,Fall,104.0,14000000.0,6900000.0,Drama,PG-13,44.0,0.0
261,Three Christs,2020,Winter,109.0,31490000000.0,37788000000.0,Drama,R,41.0,0.0
262,Jigsaw,2017,Fall,92.0,10000000.0,104200000.0,Horror,R,33.0,1.0
263,Rush Hour 3,2007,Summer,91.0,215000000.0,258000000.0,Action,PG-13,18.0,1.0
264,Marshall,2017,Fall,118.0,12000000.0,10100000.0,Drama,PG-13,84.0,0.0
265,Gringo,2018,Winter,110.0,9166666.666666668,11000000.0,Action,R,60.0,0.0
266,Wild West Comedy Show: 30 Days and 30 Nights – Hollywood to the Heartland,2008,Winter,100.0,503245000000.0,603894000000.0,Documentary,R,81.0,0.0
267,Jennifer's Body,2009,Summer,102.0,16000000.0,31600000.0,Horror,R,45.0,0.0
268,Behind the Burly Q,2010,Spring,98.0,19907500000.0,23889000000.0,Documentary,R,77.0,0.0
269,12 Rounds,2009,Winter,109.0,20000000.0,17300000.0,Action,PG-13,30.0,0.0
270,"Mission: Impossible – Rogue Nation
",2015,Summer,131.0,150000000.0,710900000.0,Action,PG-13,94.0,1.0
271,Forever My Girl,2018,Winter,104.0,3500000.0,16399999.999999998,Romance,PG,23.0,0.0
272,Star Trek Beyond,2016,Summer,122.0,185000000.0,343500000.0,Sci-Fi,PG-13,86.0,1.0
273,The Irishman,2019,Fall,209.0,284000000.0,8000000.0,Crime,R,95.0,0.0
274,Arthur,2011,Spring,110.0,40000000.0,48100000.0,Comedy,PG-13,27.0,1.0
